decision,ref,confidence,kind,reason,original,suggested
APPROVE,PS 100:5,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"For the LORD is good; his mercy endures forever, and his faithfulness to all generations.","For the LORD is good; His mercy endures forever, and his faithfulness to all generations."
APPROVE,PS 100:5,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"For the LORD is good; his mercy endures forever, and his faithfulness to all generations.","For the LORD is good; His mercy endures forever, and His faithfulness to all generations."
,PS 102:1,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"A prayer of the afflicted, when he is faint and pours out his complaint before the LORD.","A prayer of the afflicted, when He is faint and pours out his complaint before the LORD."
,PS 102:1,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"A prayer of the afflicted, when he is faint and pours out his complaint before the LORD.","A prayer of the afflicted, when He is faint and pours out His complaint before the LORD."
,PS 102:13,0.95,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"But you, O LORD, sit enthroned forever, and the remembrance of you endures to all generations.","But You, O LORD, sit enthroned forever, and the remembrance of You endures to all generations."
APPROVE,PS 102:13,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"But you, O LORD, sit enthroned forever, and the remembrance of you endures to all generations.","But You, O LORD, sit enthroned forever, and the remembrance of You endures to all generations."
,PS 102:17,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,For the LORD has built up Zion; he has appeared in his glory.,For the LORD has built up Zion; He has appeared in His glory.
APPROVE,PS 102:17,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,For the LORD has built up Zion; he has appeared in his glory.,For the LORD has built up Zion; He has appeared in His glory.
,PS 102:20,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,For he has looked down from the height of his holiness; from heaven the LORD has gazed upon the earth.,For He has looked down from the height of his holiness; from heaven the LORD has gazed upon the earth.
APPROVE,PS 102:20,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,For he has looked down from the height of his holiness; from heaven the LORD has gazed upon the earth.,For He has looked down from the height of His holiness; from heaven the LORD has gazed upon the earth.
APPROVE,PS 102:25,0.8,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"I say, O my God, do not take me away in the midst of my days; your years are through all generations.","I say, O my God, do not take me away in the midst of my days; Your years are through all generations."
APPROVE,PS 103:13,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"As a father has compassion on his children, so the LORD has compassion on those who fear Him.","As a father has compassion on His children, so the LORD has compassion on those who fear Him."
,PS 103:20,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"Bless the LORD, you his angels, mighty in strength, who perform his word, obeying the voice of his word.","Bless the LORD, You his angels, mighty in strength, who perform his word, obeying the voice of his word."
,PS 103:20,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Bless the LORD, you his angels, mighty in strength, who perform his word, obeying the voice of his word.","Bless the LORD, You His angels, mighty in strength, who perform his word, obeying the voice of his word."
,PS 103:20,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Bless the LORD, you his angels, mighty in strength, who perform his word, obeying the voice of his word.","Bless the LORD, You His angels, mighty in strength, who perform His word, obeying the voice of his word."
APPROVE,PS 103:20,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Bless the LORD, you his angels, mighty in strength, who perform his word, obeying the voice of his word.","Bless the LORD, You His angels, mighty in strength, who perform His word, obeying the voice of His word."
,PS 103:21,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Bless the LORD, all his hosts, his ministers who do his will.","Bless the LORD, all His hosts, his ministers who do his will."
,PS 103:21,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Bless the LORD, all his hosts, his ministers who do his will.","Bless the LORD, all His hosts, His ministers who do his will."
APPROVE,PS 103:21,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Bless the LORD, all his hosts, his ministers who do his will.","Bless the LORD, all His hosts, His ministers who do His will."
,PS 103:22,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Bless the LORD, all his works, in all places of his dominion; bless the LORD, O my soul.","Bless the LORD, all His works, in all places of his dominion; bless the LORD, O my soul."
